Message,Status Code,Cluster
Error polling cloud volume dev_vda-PRD_Z1_PENT: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vdb-PRD_Z1_PENT: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-Z1-ONBAPP3_OsDisk_1_2c7e47f6a9944ef0a449ebe85901f153: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_ONBAP_15July21-Restore-SR27735: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prod-ftsdb1-20210125-155436: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prdz1webapp3-osdisk-20210324-232522: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prod-ftsdb1_OSDisk_1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Customize Page ADD WIDGETS DONE EDITING NOC_TEST,critical,3
Error polling cloud volume dev_vda-PRD_Z1_ONBAPP2: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-dev_mwapp1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vdb-PRD_Z1_SFTP1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume data_disk3: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_SFTP1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume data_disk1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume data_disk2: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-IDR-DB_OsDisk_1_f011d95c382a49968345d09d417e5945: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-PRD_Z1_ACCAPP: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-PRD_Z1_CSAPP01: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE1-PRD_Z1_CSAPP01: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-PRD_Z1_MCSFTP: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-WAF1_OsDisk_1_69d60816fbf44e89b64ac7d9f39db038: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume DR-WAF1_OsDisk_1_4af9b201cdbf49c29960e144d0365529: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-DEEMHRZ2: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-DATA-NODE3_OsDisk_1_b880772949504d8fb8d869e1157c64ee: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-data-node3_datadisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PRD-NAME-NODE1_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-DEV_Z1_RPADEV1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-NAME-NODE1_OsDisk_1_e6d7a8050e024d959628f4f98e3effa7: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-DATA-NODE2_OsDisk_1_1c4fa97442364e48a7f95f8c17d51437: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-data-node2_datadisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_NWAPP1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-data-node5_datadisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume AUHAZDRAD1_OsDisk_1_e746c2932b3142f9bc2fbf4dfd107e39: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume Prdz1nwapp2-osdisk-20210307-191957-new: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prddatanode5-osdisk-20220425-112408: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-PAM-VAULT_OsDisk_1_5c143925a18e470785cc13c222cdeb76: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PRD-PAM-VAULT_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-DEEMHRZ1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume DXBAZPRODAD1_OsDisk_1_306bbdb19d2a4b11b0ecce97420cd284: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PRD-ICCSSRV1_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-data-node4_datadisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Customize Page ADD WIDGETS DONE EDITING NOC_TEST Error polling cloud volume PRD-ICCSSRV1_OsDisk_1_f4a21b54faa348ff9679112c9fac08ef: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-data-node1_datadisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-DATA-NODE4_OsDisk_1_da67720f22814a22a90779fb9a434034: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-name-node2_datadisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-DATA-NODE1_OsDisk_1_b61f8b64afd342d5a6b8e68cb526ec8d: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-NAME-NODE2_OsDisk_1_cf6c62f224b7492cab3f051a19217441: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-WAF2_OsDisk_1_362ca346f0a54920bfb2750c215aaf2b: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prdz1asapp1-osdisk-20211130-154828: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_INTRAAPP: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud account DEEM_AZURE: Azure VMs metrics poller has failed with access denied.,critical,3
"Component ""Error and Warning Events: SMS Server"" for application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is up 172.20.110.61",critical,3
Component Error and Warning Events: SMS Server on Application Microsoft System Center Configuration Manager Related Services on Node ISDBPRCCM01 is Down 172.20.110.61,critical,3
Component DNS Server on Application NOC Infra Critical Active Directory Service Monitoring on Node ISNOCPRDC04 is Critical 10.255.12.12,critical,3
Error polling cloud volume prdz1rpabot1-osdisk-20240719-154903: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prdz1rpaapp1-osdisk-20240719-151928: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume azdevvm01_OsDisk_1_b565e5d8c8ef47919a0ac45fbc376821: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PRD-Z1-KONGAPP02: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume DXBAZPRODAD01_OsDisk_1_a911ea73172e4cf9951e4f0c609daece: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume DXBAZPRODAD01_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Customize Page ADD WIDGETS DONE EDITING NOC_TEST Error polling cloud volume AUHAZDRAD01_OsDisk_1_d44514e20e97492c9185fdd195d2655e: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume AUHAZDRAD01_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PRD-Z1-KONGAPP1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PROD-FTSPROAPP1_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume UAT-FTSAPP01_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PROD-FTSPROAPP1_OsDisk_1_84034275e02847c6894dbfa6f9c85d3e: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume UAT-FTSAPP01_OsDisk_1_f8d192be80c944dcac1b973f5b80abf6: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-Z1-ACCDB_OsDisk_1_8562b2e1506444108912bf7a35364cda: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PROD-MOBAPP1_OSDISK_COPY_JUN23: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume uat-data-ftsapp1-disk01: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume UAT_Z1_ACCAPP_OSDISK: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume UAT-FTSAPP1-OS_DISK: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-JUMP-SERVER_OsDisk_1_337c56107ba3496d9402ae4462c785e0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PROD-AECBSRV_OSDISK15: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prod-ftsapp1-20210125-155436: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-PRD_Z1_PBGSRV1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prod-ftsapp1_OSDisk_1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_WEBAPP1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-z1-mwapp1OS-25082022: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PHYSICALDRIVE0-PRD_Z1_RPABOT2: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PROD-MOBAPP1_16July2021: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_WEBAPP2: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PROD-HTMLSTMT1_16_July_2021: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prodhtmlstmt1-datadisk-000-20210124-072724: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_WEBAPP4: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prodhtmlstmt2-datadisk-21-sept2022: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume PROD-HTMLSTMT2_21_Sep_2022: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prdz1nwapp2new-osdisk-20220628-170611: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prd-z1-mwapp2os-25082022: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vdb-PRD_Z1_PENT: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_PENT: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume PRD-Z1-ONBAPP3_OsDisk_1_2c7e47f6a9944ef0a449ebe85901f153: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_ONBAP_15July21-Restore-SR27735: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prod-ftsdb1-20210125-155436: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Customize Page ADD WIDGETS DONE EDITING NOC_TEST,critical,3
Error polling cloud volume prdz1webapp3-osdisk-20210324-232522: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume prod-ftsdb1_OSDisk_1: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
Error polling cloud volume dev_vda-PRD_Z1_ONBAPP2: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,critical,3
